lemma,pos,synonyms,hypernyms
ireland,NNP,eire|emerald isle|hibernia|ireland|irish republic|republic of ireland,
have,VBZ,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
be,VBN,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
inhabit,VBN,dwell|inhabit|live|populate,be|exist
very,RB,rattling|real|really|very,NA
ancient,JJ,ancient,
time,NNS,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
irish,JJ,irish,
history,NN,account|chronicle|history|story,past|past times|yesteryear|record|humanistic discipline|humanities|liberal arts|arts|continuum|cognition|knowledge|noesis
really,RB,actually|genuinely|in truth|rattling|real|really|truly|very,NA
begin,VBZ,begin|commence|get|get down|lead off|set about|set out|start|start out,talk|speak|utter|mouth|verbalize|verbalise|be|act|move|achieve|accomplish|attain|reach
arrival,NN,arrival|arriver|comer|reaching,accomplishment|achievement|action|traveler|traveller
celt,NNP,celt|kelt,european
th,NN,atomic number 90|th|thorium|thursday,weekday|metallic element|metal
century,NN,100|c|century|hundred|one c,time period|period of time|period|large integer
s,VBZ,,NA
first,RB,first|first of all|first off|firstly|foremost,NA
document,VBN,document,record|enter|put down|confirm|corroborate|sustain|substantiate|support|affirm
invasion,NN,encroachment|intrusion|invasion,penetration|incursion|entrance|entering|spread|spreading
bring,VBD,add|bestow|bring|bring in|contribute|convey|fetch|get|impart|institute|land|lend|make for|play|take|work|wreak,transport|carry|change|alter|modify|make|create|transmit|transfer|channel|channelize|channelise|attract|pull|pull in|draw|draw in|induce|stimulate|cause|have|get
iron,NN,atomic number 26|branding iron|fe|iron|smoothing iron,metallic element|metal|golf club|golf-club|golfclub|club|implement|home appliance|household appliance
weapon,NNS,arm|artillery|weapon|weapon system,instrument|persuasion|suasion
chariot,NNS,chariot,carriage|equipage|rig|horse-drawn vehicle
code,NNS,code|codification|computer code,written communication|written language|black and white|coding system
custom,NN,custom|customs|customs duty|impost|tradition|usage|usance,practice|pattern|survival|duty|tariff|trade|patronage
conduct,NN,behavior|behaviour|conduct|demeanor|demeanour|deportment|doings,activity|trait
quickly,RB,apace|chop-chop|cursorily|in short order|promptly|quick|quickly|rapidly|speedily,
become,VBD,become|get|go|suit|turn,change state|turn|transform|transmute|metamorphose|fancify|beautify|embellish|prettify
dominant,JJ,dominant|predominant|prevailing|prevalent|rife,
country,NN,area|body politic|commonwealth|country|land|nation|res publica|rural area|state,political unit|political entity|administrative district|administrative division|territorial division|people|geographical area|geographic area|geographical region|geographic region|region
be,VBZ,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
period,NN,catamenia|flow|full point|full stop|geological period|menses|menstruation|menstruum|period|period of time|point|stop|time period,fundamental quantity|fundamental measure|time interval|interval|part|section|division|geological time|geologic time|end|ending|discharge|emission|expelling|punctuation|punctuation mark
myth,NNS,myth,story
