corpus;genre;Filename;adjacent_overlap_cw_sent;adjacent_overlap_cw_sent_div_seg;adjacent_overlap_binary_cw_sent;syn_overlap_sent_noun;syn_overlap_sent_verb
text;berlitz;berlitz_HistoryDublin-hepple_clean,txt;0,06255144;0,62295082;0,426229508;0,475409836;0,090163934
text;berlitz;berlitz_HistoryEdinburgh-hepple_clean,txt;0,07706422;0,863013699;0,554794521;0,664383562;0,123287671
text;berlitz;berlitz_HistoryEgypt-hepple_clean,txt;0,071176885;0,87826087;0,547826087;0,573913043;0,165217391
text;berlitz;berlitz_HistoryFrance-hepple_clean,txt;0,038834951;0,479338843;0,363636364;0,371900826;0,066115702
text;berlitz;berlitz_HistoryFWI-hepple_clean,txt;0,047291488;0,528846154;0,403846154;0,336538462;0,076923077
text;berlitz;berlitz_HistoryGreek-hepple_clean,txt;0,048991354;0,511278195;0,398496241;0,421052632;0,112781955
text;berlitz;berlitz_HistoryHawaii-hepple_clean,txt;0,052272727;0,552;0,408;0,392;0,056
text;berlitz;berlitz_HistoryHongKong-hepple_clean,txt;0,078431373;0,779661017;0,415254237;0,423728814;0,093220339
text;berlitz;berlitz_HistoryIbiza-hepple_clean,txt;0,04;0,480519481;0,402597403;0,376623377;0,207792208
text;berlitz;berlitz_HistoryIndia-hepple_clean,txt;0,048048048;0,590909091;0,392045455;0,318181818;0,142045455
text;biomed;biomed_1468-6708-3-1-hepple_clean,txt;0,158273381;1,562130178;0,698224852;1,25443787;0,130177515
text;biomed;biomed_1468-6708-3-10-hepple_clean,txt;0,157953281;1,680473373;0,674556213;1,715976331;0,136094675
text;biomed;biomed_1468-6708-3-3-hepple_clean,txt;0,115523466;1,438202247;0,573033708;1,123595506;0,112359551
text;biomed;biomed_1468-6708-3-4-hepple_clean,txt;0,12125675;1,247474747;0,641414141;1,075757576;0,308080808
text;biomed;biomed_1468-6708-3-7-hepple_clean,txt;0,140067912;1,774193548;0,720430108;1,655913978;0,161290323
text;biomed;biomed_1471-213X-1-1-hepple_clean,txt;0,123775601;1,510869565;0,641304348;1,423913043;0,25
text;biomed;biomed_1471-213X-1-2-hepple_clean,txt;0,188260558;1,724590164;0,691803279;1,695081967;0,275409836
text;biomed;biomed_1471-213X-1-3-hepple_clean,txt;0,154068716;2;0,807511737;1,868544601;0,159624413
text;biomed;biomed_1471-213X-1-4-hepple_clean,txt;0,147172734;1,826923077;0,673076923;1,740384615;0,326923077
text;biomed;biomed_1471-213X-1-6-hepple_clean,txt;0,071058475;0,545454545;0,352272727;0,488636364;0,051136364
text;icic;icic_102CTL002-hepple_clean,txt;0,113513514;0,954545455;0,681818182;0,636363636;0,136363636
text;icic;icic_102CTL003-hepple_clean,txt;0,133333333;1,454545455;0,818181818;0,818181818;0,363636364
text;icic;icic_102CTL004-hepple_clean,txt;0,166666667;1,3;0,7;0,8;0,2
text;icic;icic_103C-L055-hepple_clean,txt;0,064;0,533333333;0,266666667;0,533333333;0,133333333
text;icic;icic_103C-L056-hepple_clean,txt;0,086053412;0,743589744;0,384615385;0,666666667;0,128205128
text;icic;icic_105CWL038-hepple_clean,txt;0,188976378;1,5;0,6875;1,375;0,25
text;icic;icic_105CWL039-hepple_clean,txt;0,079646018;0,692307692;0,461538462;0,692307692;0,076923077
text;icic;icic_105Cwl040-hepple_clean,txt;0,043010753;0,444444444;0,444444444;0,222222222;0
text;icic;icic_105CWL061-hepple_clean,txt;0,102272727;1;0,444444444;0,666666667;0,333333333
text;icic;icic_105CWL062-hepple_clean,txt;0,1625;1,857142857;0,857142857;2;0
text;media;media_5_Legal_Groups-hepple_clean,txt;0,116465863;1,380952381;0,523809524;1,142857143;0,095238095
text;media;media_Abuse_penalties-hepple_clean,txt;0,124304267;1,34;0,58;1,02;0,2
text;media;media_Advocate_for_Poor-hepple_clean,txt;0,104651163;1;0,37037037;0,407407407;0,185185185
text;media;media_agency_expands-hepple_clean,txt;0,148471616;2;0,823529412;1,235294118;0,294117647
text;media;media_Aid_Gets_7_Million-hepple_clean,txt;0,094488189;1;0,583333333;0,708333333;0,166666667
text;media;media_All_May_Have_Justice-hepple_clean,txt;0,064864865;0,6;0,5;0,4;0,15
text;media;media_Annual_Fee-hepple_clean,txt;0,147268409;2,137931034;0,827586207;2,586206897;0,344827586
text;media;media_Anthem_Payout-hepple_clean,txt;0,044806517;0,423076923;0,307692308;0,25;0,230769231
text;media;media_A_helping_hand-hepple_clean,txt;0,065789474;0,547945205;0,356164384;0,424657534;0,136986301
text;media;media_A_Perk_of_Age-hepple_clean,txt;0,055;0,5;0,272727273;0,5;0,136363636
text;plos;plos_journal,pbio,0020001-hepple_clean,txt;0,196125908;2,761363636;0,75;2,443181818;0,386363636
text;plos;plos_journal,pbio,0020010-hepple_clean,txt;0,099156118;1,305555556;0,694444444;1,166666667;0,333333333
text;plos;plos_journal,pbio,0020012-hepple_clean,txt;0,048513302;0,484375;0,3359375;0,3125;0,1796875
text;plos;plos_journal,pbio,0020013-hepple_clean,txt;0,084223013;0,934210526;0,578947368;0,881578947;0,065789474
text;plos;plos_journal,pbio,0020019-hepple_clean,txt;0,194410693;2,424242424;0,787878788;2,257575758;0,196969697
text;plos;plos_journal,pbio,0020028-hepple_clean,txt;0,077700078;0,862068966;0,534482759;0,646551724;0,232758621
